"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 07 22:35:25 CST 2023","Fri Apr 07 22:35:25 CST 2023","69","test_case.UserManger","test_create_user","TestCreateUser","","","创建用户成功（全部参数）","
        :param :
        :return:
        "
"passed","Fri Apr 07 22:35:25 CST 2023","Fri Apr 07 22:35:25 CST 2023","71","test_case.UserManger","test_create_user","TestCreateUser","","","创建用户成功（必填参数）","
        :param :
        :return:
        "
"passed","Fri Apr 07 22:35:25 CST 2023","Fri Apr 07 22:35:25 CST 2023","7","test_case.UserManger","test_create_user","TestCreateUser","","","创建已存在用户","
        :param :
        :return:
        "
"passed","Fri Apr 07 22:35:25 CST 2023","Fri Apr 07 22:35:25 CST 2023","68","test_case.UserManger","test_create_user","TestCreateUser","","","创建用户成功（必填+选填参数）","
        :param :
        :return:
        "
"passed","Fri Apr 07 22:35:25 CST 2023","Fri Apr 07 22:35:25 CST 2023","5","test_case.UserManger","test_create_user","TestCreateUser","","","用户名为空","
        :param :
        :return:
        "
